itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"nAlg03    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 03","volume    ","volume    "," ","                              "
"EnhSdAlg03","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 03   ","volume    ","volume    "," ","                              "
"VSedAlg03 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 03              ","volume    ","volume    "," ","                              "
"SalFnAlg03","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 03       ","volume    ","volume    "," ","                              "
"FloFnAlg03","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 03   ","volume    ","volume    "," ","                              "
"V0SedAlg04","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 04              ","volume    ","volume    "," ","                              "
"nAlg04    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 04","volume    ","volume    "," ","                              "
"EnhSdAlg04","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 04   ","volume    ","volume    "," ","                              "
"VSedAlg04 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 04              ","volume    ","volume    "," ","                              "
"SalFnAlg04","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 04       ","volume    ","volume    "," ","                              "
"FloFnAlg04","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 04   ","volume    ","volume    "," ","                              "
"V0SedAlg05","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 05              ","volume    ","volume    "," ","                              "
"nAlg05    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 05","volume    ","volume    "," ","                              "
"EnhSdAlg05","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 05   ","volume    ","volume    "," ","                              "
"VSedAlg05 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 05              ","volume    ","volume    "," ","                              "
"SalFnAlg05","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 05       ","volume    ","volume    "," ","                              "
"FloFnAlg05","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 05   ","volume    ","volume    "," ","                              "
"V0SedAlg06","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 06              ","volume    ","volume    "," ","                              "
"nAlg06    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 06","volume    ","volume    "," ","                              "
"EnhSdAlg06","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 06   ","volume    ","volume    "," ","                              "
"VSedAlg06 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 06              ","volume    ","volume    "," ","                              "
"SalFnAlg06","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 06       ","volume    ","volume    "," ","                              "
"FloFnAlg06","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 06   ","volume    ","volume    "," ","                              "
"V0SedAlg07","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 07              ","volume    ","volume    "," ","                              "
"nAlg07    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 07","volume    ","volume    "," ","                              "
"EnhSdAlg07","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 07   ","volume    ","volume    "," ","                              "
"VSedAlg07 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 07              ","volume    ","volume    "," ","                              "
"SalFnAlg07","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 07       ","volume    ","volume    "," ","                              "
"FloFnAlg07","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 07   ","volume    ","volume    "," ","                              "
"V0SedAlg08","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 08              ","volume    ","volume    "," ","                              "
"nAlg08    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 08","volume    ","volume    "," ","                              "
"EnhSdAlg08","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 08   ","volume    ","volume    "," ","                              "
"VSedAlg08 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 08              ","volume    ","volume    "," ","                              "
"SalFnAlg08","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 08       ","volume    ","volume    "," ","                              "
"FloFnAlg08","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 08   ","volume    ","volume    "," ","                              "
"V0SedAlg09","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 09              ","volume    ","volume    "," ","                              "
"nAlg09    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 09","volume    ","volume    "," ","                              "
"EnhSdAlg09","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 09   ","volume    ","volume    "," ","                              "
"VSedAlg09 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 09              ","volume    ","volume    "," ","                              "
"SalFnAlg09","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 09       ","volume    ","volume    "," ","                              "
"FloFnAlg09","x"," ",   -999.000    ,"(-)                 ","flocculation function on settling algae type 09   ","volume    ","volume    "," ","                              "
"V0SedAlg10","x"," ",   -999.000    ,"(m/d)               ","sedimentation velocity algae type 10              ","volume    ","volume    "," ","                              "
"nAlg10    ","x"," ",    0.00000    ,"(-)                 ","coefficient in flocculation function algae type 10","volume    ","volume    "," ","                              "
"EnhSdAlg10","x"," ",    1.00000    ,"(-)                 ","salinity enhanced settling factor algae type 10   ","volume    ","volume    "," ","                              "
"VSedAlg10 ","x","x",    0.00000    ,"(m/d)               ","sedimentation velocity algae type 10              ","volume    ","volume    "," ","                              "
"SalFnAlg10","x"," ",   -999.000    ,"(-)                 ","salinity function on settling algae type 10       ","volume    ","volume    "," ","                              "
